p50,p95,p99,mean,variant,batch_size,seq_len,throughput
34.83186895027757,35.07699095644057,36.962770856916904,34.862842835718766,pytorch-eager,1,32,28.709340903512764
52.58284509181976,52.77184210717678,61.37903803028166,52.761696674861014,pytorch-eager,1,64,19.017609226998037
76.26438094303012,89.47000186890364,89.75080214440823,77.02730258693919,pytorch-eager,1,128,13.112281088952981
131.89049996435642,133.4273989778012,144.50519089587033,132.2382188483607,pytorch-eager,8,32,60.65637784496996
253.05052800104022,254.4001811183989,261.1782210879028,253.300048597157,pytorch-eager,8,64,31.61423950858982
564.3630770500749,567.7409421186894,573.9075830206275,564.8706361709628,pytorch-eager,8,128,14.175271780386465
520.1466178987175,523.3425279147923,534.5889239106327,520.5635505425744,pytorch-eager,32,32,61.52111519877461
1066.2342079449445,1074.1194111760706,1078.6071128677577,1067.0726577250753,pytorch-eager,32,64,30.012167834754308
1942.8987770806998,2011.3821618724614,2131.022409070283,1951.839197386289,pytorch-eager,32,128,16.47023528836719
26.318141957744956,26.740982197225094,27.327275834977627,26.371012829476967,torchscript,1,32,37.99660331666073
38.93549204804003,39.257417200133204,40.01732496544719,38.98458662326448,torchscript,1,64,25.68350744781043
65.70824910886586,66.15027808584273,66.85763504356146,65.76497194473632,torchscript,1,128,15.218789323440859
114.47303579188883,115.80668506212533,117.8636709228158,114.56346374819987,torchscript,8,32,69.88545332670257
219.82658514752984,228.2288169953972,230.23250908590853,220.77912242501043,torchscript,8,64,36.392322587511636
450.5782891064882,461.079039843753,467.44644921272993,451.3236240320839,torchscript,8,128,17.754961109786862
427.96876188367605,441.41810410656035,452.4673540145159,429.22304026433267,torchscript,32,32,74.77181245461497
905.7232900522649,923.7935948185623,951.8325170502067,905.7399077026639,torchscript,32,64,35.330879034979255
1967.2265029512346,1997.942715883255,2048.425129847601,1971.6571002244018,torchscript,32,128,16.266555961905546
21.148798055946827,21.242022048681974,24.190241005271673,21.199670711066574,onnx-fp32,1,32,47.28401100405846
34.78781692683697,35.30704416334629,35.94659687951207,34.868495726259425,onnx-fp32,1,64,28.745695715920384
66.36193091981113,66.85795704834163,67.90460296906531,66.4363975985907,onnx-fp32,1,128,15.068880397834663
113.90644684433937,114.6841230802238,117.04262509010732,114.05373669229448,onnx-fp32,8,32,70.23307478752739
235.4154831264168,243.48170519806445,245.37702300585806,236.5166569838766,onnx-fp32,8,64,33.982471729372385
521.5780769940466,533.1817679107189,539.7878361400217,523.0056081642397,onnx-fp32,8,128,15.338067976525236
468.60942291095853,475.3694541286677,479.2399941943586,469.48249917128123,onnx-fp32,32,32,68.28714583078366
986.6772880777717,996.9229390844703,1029.6634109690785,987.3994758550543,onnx-fp32,32,64,32.432083302882006
2195.179544854909,2228.134606964886,2282.701214076951,2197.015863751294,onnx-fp32,32,128,14.577395309191006
4.224837990477681,4.253792110830545,4.277523141354322,4.227230232208967,onnx-int8,1,32,236.69546672650873
8.083443157374859,8.300536777824163,8.351231925189495,8.122033313848078,onnx-int8,1,64,123.70965942745063
18.800996942445636,18.959076143801212,19.232942024245858,18.825364916119725,onnx-int8,1,128,53.188668827575476
26.524273911491036,27.116959914565086,27.83793187700212,26.60284045850858,onnx-int8,8,32,301.610518225503
64.2747888341546,65.58676506392658,68.36319994181395,64.40812845597975,onnx-int8,8,64,124.46559755555239
178.96056990139186,195.607075933367,197.11526087485254,180.69148588227108,onnx-int8,8,128,44.70258451014119
128.91813996247947,132.17654498293996,135.4641760699451,128.7823386315722,onnx-int8,32,32,248.2195291470489
313.5130980517715,316.37290492653847,320.0080278329551,313.4418425569311,onnx-int8,32,64,102.06910077714114
801.6765881329775,810.2939899545163,841.8661227915436,802.5911831774283,onnx-int8,32,128,39.916345910168985
