Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788737807,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788737808,2,,Aggregated,0.000000,0.000000,16,17,19,25,40,42,42,42,42,42,42,13,0,16,20.79406355579312,15.43909590691328,42.03927400521934,104.3076923076923
1788737809,2,,Aggregated,0.000000,0.000000,16,16,18,21,35,40,42,42,42,42,42,25,0,16,18.577300729230046,12.004500953480601,42.03927400521934,104.52
1788737810,2,,Aggregated,4.000000,0.000000,15,16,17,19,33,40,42,42,42,42,42,39,0,15,17.331984867222417,12.004500953480601,42.03927400521934,104.07692307692308
1788737811,2,,Aggregated,8.000000,0.000000,15,16,17,18,21,35,40,42,42,42,42,55,0,15,16.64842805740508,12.004500953480601,42.03927400521934,101.9090909090909
1788737812,2,,Aggregated,9.666667,0.000000,13,16,16,17,20,33,40,42,42,42,42,69,0,13,15.845909626965506,12.004500953480601,42.03927400521934,100.8840579710145
1788737813,2,,Aggregated,11.000000,0.000000,13,16,17,17,21,33,42,45,45,45,45,83,0,13,16.38063417287566,12.004500953480601,44.8696359526366,103.59036144578313
1788737814,2,,Aggregated,12.000000,0.000000,13,16,17,17,21,33,42,45,45,45,45,100,0,13,16.343284852337092,12.004500953480601,44.8696359526366,103.34
1788737815,2,,Aggregated,12.166667,0.000000,13,16,17,17,20,33,40,42,45,45,45,112,0,13,16.338260865138313,12.004500953480601,44.8696359526366,103.49107142857143
1788737816,2,,Aggregated,12.571429,0.000000,13,16,17,17,20,33,40,42,45,45,45,125,0,13,16.482833733782172,12.004500953480601,44.8696359526366,103.56
1788737817,2,,Aggregated,12.875000,0.000000,14,17,17,17,21,33,41,42,45,45,45,139,0,14,16.630326081134324,12.004500953480601,44.8696359526366,104.27338129496403
1788737818,2,,Aggregated,12.777778,0.000000,15,17,17,17,20,33,40,42,45,45,45,152,0,15,16.822027339673554,12.004500953480601,44.8696359526366,104.25
1788737819,2,,Aggregated,13.000000,0.000000,16,17,17,18,19,33,40,42,45,45,45,165,0,16,16.852755874226037,12.004500953480601,44.8696359526366,103.66060606060606
1788737820,2,,Aggregated,13.800000,0.000000,16,17,17,18,19,33,41,42,45,45,45,177,0,16,16.998189337035946,12.004500953480601,44.8696359526366,103.72881355932203
1788737821,2,,Aggregated,13.800000,0.000000,16,17,17,18,21,39,41,42,45,45,45,192,0,16,17.41530626046976,12.004500953480601,44.8696359526366,104.671875
1788737822,2,,Aggregated,13.900000,0.000000,17,17,17,18,20,35,41,41,45,45,45,207,0,17,17.415682331924348,12.004500953480601,44.8696359526366,104.09178743961353
1788737823,2,,Aggregated,13.700000,0.000000,17,17,18,18,23,35,41,42,47,47,47,223,0,17,17.55887751818338,12.004500953480601,47.20165301114321,104.83408071748879
1788737824,2,,Aggregated,13.600000,0.000000,17,17,17,18,21,35,41,42,47,47,47,237,0,17,17.430870305503156,12.004500953480601,47.20165301114321,104.35443037974683
1788737825,2,,Aggregated,13.800000,0.000000,17,17,17,18,21,35,41,42,47,47,47,250,0,17,17.496248230338097,12.004500953480601,47.20165301114321,104.344
1788737826,2,,Aggregated,13.700000,0.000000,17,17,17,18,20,33,41,42,47,47,47,263,0,17,17.348246265578123,11.972618056461215,47.20165301114321,103.97338403041825
1788737827,2,,Aggregated,13.600000,0.000000,17,17,17,18,21,39,41,45,47,47,47,278,0,17,17.522811461675563,11.972618056461215,47.20165301114321,104.60791366906474
1788737828,2,,Aggregated,13.700000,0.000000,17,17,17,18,20,39,41,45,47,47,47,294,0,17,17.50615001402694,11.972618056461215,47.20165301114321,104.50340136054422
1788737829,2,,Aggregated,13.700000,0.000000,16,17,17,18,20,35,41,42,47,47,47,308,0,16,17.35191676968273,11.972618056461215,47.20165301114321,104.47077922077922
1788737830,2,,Aggregated,14.100000,0.000000,16,17,17,18,20,33,41,42,47,47,47,322,0,16,17.287030242678494,11.972618056461215,47.20165301114321,104.43167701863354
1788737831,2,,Aggregated,14.300000,0.000000,16,17,17,18,20,35,41,44,47,47,47,336,0,16,17.357342453102493,11.972618056461215,47.20165301114321,104.39583333333333
1788737832,2,,Aggregated,14.200000,0.000000,17,17,17,18,19,33,41,44,47,47,47,348,0,17,17.350214572312932,11.972618056461215,47.20165301114321,104.13218390804597
1788737833,2,,Aggregated,14.400000,0.000000,17,17,17,18,20,39,41,44,47,47,47,360,0,17,17.46892966847453,11.972618056461215,47.20165301114321,104.41388888888889
1788737834,2,,Aggregated,14.200000,0.000000,17,17,17,18,21,39,41,45,47,47,47,374,0,17,17.531076622354913,11.972618056461215,47.253749798983335,104.88770053475936
1788737835,2,,Aggregated,13.900000,0.000000,16,17,17,18,20,35,41,45,47,47,47,388,0,16,17.362560392789465,11.972618056461215,47.253749798983335,104.60051546391753
1788737836,2,,Aggregated,13.800000,0.000000,16,17,17,18,20,34,41,44,47,47,47,401,0,16,17.278411803637024,11.972618056461215,47.253749798983335,104.5860349127182
1788737837,2,,Aggregated,13.900000,0.000000,16,17,17,18,19,34,41,44,47,47,47,414,0,16,17.27358924150737,11.972618056461215,47.253749798983335,104.34541062801932
1788737838,2,,Aggregated,13.800000,0.000000,16,17,17,18,19,33,41,44,47,47,47,430,0,16,17.123430602923904,11.972618056461215,47.253749798983335,104.06976744186046
1788737839,2,,Aggregated,13.500000,0.000000,16,17,17,18,19,34,41,44,47,47,47,442,0,16,17.171494448894627,11.972618056461215,47.253749798983335,104.51131221719457
1788737840,2,,Aggregated,13.400000,0.000000,16,17,17,18,20,34,41,44,47,47,47,456,0,16,17.26690762351561,11.972618056461215,47.253749798983335,104.68859649122807
